feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,target
112.24,54.19,30,14.936,128.3,33.83333333,65.69,47.2,133.8
153,54.4,38,18.2,190.1,37.63333333,65.53,46.3,160.2
14.4,53.69,34,16.509,17.4,11.1,65.44,11.7,171.4
30.02,53.64,28,31.917,33.7,17.16666667,65.43,22.6,146.8
29.08,53.57,40,19.25,32.6,20.8,65.43,26.2,131
27.74,53.63,58,33.438,23.6,22.36666667,65.42,23.9,148
58.14,53.61,50,26.768,68,61.36666667,65.42,63.3,164.8
16.24,54.83,82,17.083,16.8,12.5,65.41,15.8,97
95.78,53.61,68,21.782,117.5,104.4666667,65.41,105.6,116.8
29.94,54.83,92,21.908,30.9,26.23333333,65.4,27.1,96.2
74.82,53.62,32,26.797,80.1,81.13333333,65.4,82.4,173
39.76,53.6,42,16.25,48.3,39.4,65.4,43.7,124
25.82,54.84,96,21.571,24.8,19.33333333,65.39,21.1,97.2
49.56,54.83,62,32.12,46.4,44.86666667,65.39,47.9,140.8
28.96,52.76,30,8.585,37.8,31.63333333,65.37,30,90
51.12,54.89,34,16.991,58.7,33.5,65.35,40.1,138.2
33.56,53.6,56,29.653,32.2,22.2,65.35,25.6,189.8
0.88,52.79,42,8.571,3.3,2.133333333,65.35,2.7,50
27.76,52.74,34,12.049,38.6,25.83333333,65.34,32,88
1.94,53.92,34,12.656,2.4,0.966666667,65.33,1.5,55
29.82,53.49,40,16.395,36,37.83333333,65.32,30.3,88.8
15.92,53.43,48,8.964,24.3,7.566666667,65.27,13.9,118.4
7,54.55,40,16.25,9.5,3.966666667,65.06,5.8,100
12.88,53.82,30,32.097,12.9,4.566666667,65.02,5.2,142.6
34.12,53.54,36,16.25,39.7,114.1333333,64.78,28.3,107
11.82,52.82,68,36.528,13.9,10.9,64.68,8.9,200
32.04,52.82,60,35.735,32.2,37.66666667,64.63,33.5,142.2
25.52,52.82,28,19.375,27,28.9,64.63,26.1,161.8
14.82,52.81,64,17.604,19.1,20.76666667,64.63,16.9,137.2
29.16,52.81,46,23.594,29.4,28.86666667,64.63,27.5,148.6
37.84,52.82,76,19.939,39.4,39.16666667,64.62,37.4,131.6
25.26,52.81,70,18.958,26.2,31.66666667,64.62,24.1,135
22.72,52.76,32,62.558,19.6,16.03333333,64.61,18.5,292.6
21.74,52.86,38,33.182,17.1,21.63333333,64.6,17.3,227.6
11.66,52.7,38,16.838,11.3,17.7,64.6,13.4,191.6
22.82,52.99,58,34.038,22,22.8,64.59,19.4,215.6
24.68,53.19,66,10,37.3,25.9,64.54,29.8,80
25.2,52.8,42,26.172,24.6,26.83333333,64.52,23.9,177
68.28,52.68,30,23.319,66.6,69.9,64.52,62.2,182.4
10.82,52.87,38,33.583,10.4,15.23333333,64.51,10.6,205.6
39.2,52.69,34,18.99,38.9,56.36666667,64.51,35.6,128
30.46,52.67,58,11.311,44,43.4,64.51,39.3,169.4
46.44,52.67,50,13.75,57.3,72.83333333,64.51,60.2,140.2
6.6,52.75,26,34.107,7.2,27.4,64.5,6.4,285
72.62,52.68,36,15.931,91.3,118.8333333,64.5,92.4,176.8
43.18,52.67,70,21.776,49.2,56.46666667,64.5,47.5,151
39.9,53.24,64,16.552,52.3,35.63333333,64.49,41,86.6
20.48,53.12,42,21.01,21.8,29.66666667,64.49,23.2,93.4
28.04,52.99,40,19.088,28.7,36.8,64.49,31.7,127.4
